"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11","WT14"
"USC00134758","LEON 6 ESE, IA US","1970-02-01",,,,,"0.00","0.0","0.0",,,,,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-02",,,,,"0.00","0.0","0.0","48","0","0",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-03",,,,,"0.00","0.0","0.0","12","-13","9",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-04",,,,,"0.00","0.0","0.0","45","5","45",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-05",,,,,"0.00","0.0","0.0","51","21","42",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-06",,,,,"0.00","0.0","0.0","56","30","43",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-07",,,,,"0.00","0.0","0.0","53","37","39",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-08",,,,,"0.00","0.0","0.0","40","22","32",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-09",,,,,"0.00","0.0","0.0","33","20","24",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-10",,,,,"0.00","0.0","0.0","42","20","30",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-11",,,,,"0.00","0.0","0.0","32","18","25",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-12",,,,,"0.00","0.0","0.0","45","12","29",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-13",,,,,"0.00","0.0","0.0","30","8","20",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-14",,,,,"0.05","1.0","1.0","21","11","14",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-15",,,,,"0.00","0.0","1.0","29","10","26",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-16",,,,,"0.00","0.0","0.0","40","10","35",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-17",,,,,"0.00","0.0","0.0","61","25","55",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-18",,,,,"0.00","0.0","0.0","56","7","13",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-19",,,,,"0.00","0.0","0.0","34","-8","23",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-20",,,,,"0.00","0.0","0.0","33","6","29",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-21",,,,,"0.00","0.0","0.0","61","24","49",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-22",,,,,"0.00","0.0","0.0","55","36","41",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-23",,,,,"0.00","0.0","0.0","53","20","42",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-24",,,,,"0.00","0.0","0.0","52","21","35",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-25",,,,,"0.00","0.0","0.0","35","8","24",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-26",,,,,"0.00","0.0","0.0","54","14","41",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-27",,,,,"0.00","0.0","0.0","45","27","34",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-02-28",,,,,"0.00","0.0","0.0","45","22","38",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-03-01",,,,,"0.00","0.0","0.0","44","32","38",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-03-02",,,,,"0.22","0.0","0.0","57","37","56",,,,,,,,
"USC00134758","LEON 6 ESE, IA US","1970-03-03",,,,,"0.25","0.0","0.0","64","38","38",,,,,,,,
